Names, Units, Usually Offered In: , Additional Information 
AFRS 1. Ethnic Experience,Units: 3,,
AFRS 10. Introduction to Africana Studies,Units: 3,Fall,GE Area: D2
AFRS 15. Slavery and the American Experience,Units: 3,Spring,GE Area: F
AFRS 20. Critical Thinking About Race,Units: 3,Fall / Spring,GE Area: A3
AFRS 21. Gospel Choir,Units: 1,Fall / Spring,Repeatable up to 99 units
AFRS 24. African American Music,Units: 3,,
AFRS 27. Black Popular Culture,Units: 3,Fall / Spring,GE Area: F
AFRS 35. Art and Music of Africa,Units: 3,,
AFRS 36. Contemporary African Societies,Units: 3,Fall,
AFRS 38. Sociology of the Black Experience,Units: 3,,
AFRS 40. Law,  Policing,  and Black Communities",Units: 3,Fall,GE Area: F
AFRS 55T. Topics in African American Studies,Units: 1-3,,Repeatable up to 9 units
AFRS 56. The African American Family,Units: 3,Fall,
AFRS 60. Introduction to African American Theatre,Units: 3,,
AFRS 68. Black Protest from Emmett Till to Breonna Taylor,Units: 3,Fall / Spring,GE Area: F
AFRS 102A. African Dance,Units: 3,,
AFRS 104W. Writing About American Inequality,Units: 3,Fall / Spring,
AFRS 121. Gospel Choir,Units: 1,,Repeatable up to 99 units
AFRS 129. African American Literary Classics,Units: 3,Fall / Spring,GE Area: IC
AFRS 130T. Topics in Ethnic Studies,Units: 1-3,,Repeatable up to 6 units
AFRS 135. The African American Community,Units: 3,Fall,
AFRS 137. African American Women,Units: 3,,
AFRS 139. The African American Experience: Black Men and the Search for Self-Liberation,Units: 3,Fall,
AFRS 140. The African American Church,Units: 3,,
AFRS 142. Hip Hop Culture,Units: 3,Spring,
AFRS 144. Race Relations,Units: 3,Spring,GE Area: ID
AFRS 145. Life and Times of Martin Luther King Jr.,Units: 3,,
AFRS 146. Law and the Minority Community,Units: 3,Spring,
AFRS 148. Issues in the African American Community,Units: 3,,
AFRS 150. South Africa,Units: 3,Spring,
AFRS 164. African Cultural Perspectives,Units: 3,Fall,
AFRS 165. African-American Theatre,Units: 3,, Repeatable up to 6 units
AFRS 178. History of African Americans,Units: 3,,
AFRS 189. Fieldwork in Community Relations,Units: 3,Spring, Repeatable up to 6 units
AFRS 190. Independent Study,Units: 1-3,Fall / Spring, Repeatable up to 6 units
AFRS 191. History of Allensworth,Units: 1,Spring,
