Names, Units, Usually Offered In: , Additional Information 
AIS 5. American Indian History,Units: 3,,GE Area: F
AIS 9T. Topics in American Indian Studies,Units: 1-3,,Repeatable up to 9 units
AIS 10. Introduction to American Indian Studies,Units: 3,Fall / Spring,GE Area: F
AIS 50. Contemporary Life of the American Indian,Units: 3,,GE Area: D2
AIS 65T. Topics in Indian Education,Units: 3,,Repeatable up to 9 units
AIS 90. Intro to American Indian Religion,Units: 3,,
AIS 100. American Indian Religion,Units: 3,,
AIS 101. American Indian Law,Units: 3,,
AIS 103. California American Indians,Units: 3,,GE Area: F
AIS 105W. American Indian Oral Traditions and Literatures,Units: 3,,
AIS 160. The Politics of Indian Education,Units: 3,,
AIS 170. Experience in American Indian Community,Units: 3,,Repeatable up to 6 units
AIS 189. Fieldwork in Community Relations,Units: 3,,Repeatable up to 6 units
AIS 190. Independent Study,Units: 1-3,,Repeatable up to 6 units
ANTH 2. Introduction to Cultural Anthropology,Units: 3,Fall / Spring,GE Area: D2
ANTH 3. Introduction to Prehistory and Physical Anthropology,Units: 3,Fall / Spring,GE Area: D2
ANTH 30. Critical Thinking in Anthropology,Units: 3,Fall / Spring / Summer,GE Area: A3
ANTH 100. Concepts and Applications,Units: 3,Fall,
ANTH 101. Introductory Fieldwork in Archaeology,Units: 3-6,Spring,Repeatable up to 12 units
ANTH 101B. Advanced Fieldwork in Archaeology,Units: 6,Spring,
ANTH 102. Introduction to Linguistic Anthropology,Units: 3,Spring,
ANTH 103. Archaeological Site Survey,Units: 3,,
ANTH 104. History of Anthropology,Units: 3,Spring,
ANTH 105W. Applied Anthropology,Units: 3,Fall / Spring / Summer,
ANTH 111. Ethnographic Fieldwork,Units: 3,,
ANTH 111B. Intermediate Ethnographic Fieldwork,Units: 3,Spring,
ANTH 115. Contemporary Global Culture,Units: 3,Spring,
ANTH 116W. Anthropology of Religion,Units: 3,Fall / Spring / Summer,GE Area: ID
"ANTH 117. Anthropology of Health, Illness, and Healing",Units: 3,Spring,
"ANTH 118. Sex, Gender, Biology and Culture",Units: 3,Fall,
ANTH 119. Law and Culture,Units: 3,Spring,
ANTH 120. Race and Ethnic Relations in the U.S.,Units: 3,Fall / Spring,GE Area: F
ANTH 123. Peoples and Cultures of Southeast Asia,Units: 3,Fall / Spring,
ANTH 124. Peoples and Cultures of East Asia,Units: 3,Spring,
ANTH 125. Tradition and Change in China and Japan,Units: 3,Spring,
ANTH 126W. Asian Eats: Asian American Foodways,Units: 3,Spring,
ANTH 128. Environmental Anthropology,Units: 3,Fall,
ANTH 130. Peoples and Cultures of the Southwest,Units: 3,Fall,
ANTH 132. Anthropology of War and Peace,Units: 3,,
ANTH 135. Muslim Communities in the Middle East,Units: 3,Fall,
ANTH 138T. Topics in Cultural Anthropology,Units: 1-6,Fall / Spring,Repeatable up to 12 units
ANTH 140. Contemporary Archaeology,Units: 3,Fall,
ANTH 141. Prehistory of North America,Units: 3,,
ANTH 142. Old World Prehistory,Units: 3,,
ANTH 143. Archaeology and Prehistory of California,Units: 3,,
ANTH 145. Cultural Resources Management,Units: 3,Fall,GE Area: ID
ANTH 159T. Topics in Archaeology,Units: 1-6,Fall / Spring,Repeatable up to 12 units
ANTH 161. Bio/Behavioral Evolution of the Human Species,Units: 3,Fall / Spring,GE Area: IB
ANTH 162. Primates,Units: 3,Fall,
ANTH 163. Human Variation,Units: 3,Fall,
ANTH 164. Human Osteology,Units: 3,Spring,
ANTH 165. Introduction to Forensic Anthropology,Units: 3,,
ANTH 166. Human Paleopathology,Units: 3,,
ANTH 167. Human Evolutionary Theory,Units: 3,,
ANTH 168. Research Methods in Human Skeletal Biology,Units: 3,,
ANTH 169T. Topics in Physical Anthropology,Units: 1-6,Fall / Spring,Repeatable up to 12 units
ANTH 175. Asian American and Asian Cultural Studies,Units: 3,,GE Area: F
ANTH 190. Independent Study,Units: 1-3,Fall / Spring,Repeatable up to 6 units
ANTH 192. Directed Readings,Units: 1-3,Fall / Spring,
ANTH 193I. Internships in Anthropology,Units: 1-6,Fall / Spring,
ANTH 194. Honors Thesis,Units: 1-3,Fall / Spring,
ANTH 195. Colloquium,Units: 1,Fall,
ANTH 196. Seminar: Anthropological Futures,Units: 2,Spring,
ANTH 197T. Current Topics in Anthropology,Units: 1-6,,Repeatable up to 12 units
ASAM 7. Biracial and Multiracial Asian American Identity,Units: 3,,GE Area: D2
ASAM 8. Asian American Community Health,Units: 3,,GE Area: E
ASAM 10. Asian American Newspapers and Mass Media,Units: 3,,GE Area: F
ASAM 15. Introduction to Asian Americans,Units: 3,Fall / Spring,GE Area: F
ASAM 20. Asian Americans in Media and Popular Culture,Units: 3,Fall,GE Area: F
ASAM 30. Japanese Americans in the United States,Units: 3,Fall,
ASAM 50. Contemporary Asian American Issues,Units: 3,,GE Area: F
ASAM 88. Asian American Critical Thinking,Units: 3,Fall / Spring,GE Area: A3
"ASAM 108. Jain, Hindu, and Adian American Religions",Units: 3,Fall / Spring,GE Area: F
ASAM 110. Asian American Communities,Units: 3,Fall / Spring,
ASAM 110S. Asian American Communities Service-Learning,Units: 3,Fall / Spring,
ASAM 111. Asian Pacific Desi American History,Units: 3,,GE Area: ID
ASAM 120. Race and Ethnic Relations in the U.S.,Units: 3,Fall / Spring,GE Area: F
ASAM 121. Asian American Marriage and Family,Units: 3,,GE Area: ID
ASAM 138. Asian American Women,Units: 3,,
"ASAM 140. Hmong, Laotian and Cambodian American Experience",Units: 3,Spring,
ASAM 143. Asian American Literature,Units: 4,Fall / Spring,GE Area: F
ASAM 148. Asian and Asian American Film and Video,Units: 3,,GE Area: IC
ASAM 151W. Asian Eats: Asian American Foodways,Units: 3,Spring,
ASAM 161W. Asian Americans in the Caring Fields,Units: 3,,
ASAM 175. Asian American and Asian Cultural Studies,Units: 3,,GE Area: F
ASAM 180T. Topics in Asian American Studies,Units: 3,,Repeatable up to 6 units
"ASAM 185. Asian American Politics, Education, and Theory",Units: 3,Fall,GE Area: F
ASAM 190. Independent Study,Units: 1-3,,Repeatable up to 6 units
ASAM 195. Diversity in the United States: Race and Gender Issues,Units: 3,Fall / Spring,
