Names, Units, Usually Offered In: , Additional Information 
ARM 1A. Elementary Armenian,Units: 4,,GE Area: C2
ARM 1B. Elementary Armenian,Units: 4,,GE Area: C2
ARM 2A. Intermediate Armenian,Units: 3,,GE Area: C2
ARM 2B. Intermediate Armenian,Units: 3,,
ARM 148. Masterpieces of Armenian Culture,Units: 3,,GE Area: IC
ARM 190. Independent Study,Units: 1-3,,Repeatable up to 6 units
ARMS 10. Introduction to Armenian Studies,Units: 3,,GE Area: D2
ARMS 20. The Arts of Armenia,Units: 3,,GE Area: C1
ARMS 45. William Saroyan,Units: 3,,
ARMS 50T. Studies in Armenian Literature,Units: 3,,
ARMS 105. Armenian Genocide in Comparative Context,Units: 3,,
ARMS 106. Armenians in North America,Units: 3,,
ARMS 108A. Armenian History I: Ancient and Medieval,Units: 3,,
ARMS 108B. Armenian History II: Modern and Contemporary,Units: 3,,
ARMS 120T. Topics in Armenian Studies,Units: 1-3,,Repeatable up to 6 units
ARMS 120T. Armenians under Late Ottoman & Turkish Republican Rule,Units: 3,,
ARMS 120T. Armenian Cultural History,Units: 3,,Repeatable up to 6 units
ARMS 121. Armenian Painting,Units: 3,,
ARMS 123. Armenian Architecture,Units: 3,,
ARMS 190. Independent Study,Units: 1-3,,Repeatable up to 6 units
ARMS 190H. Honors Independent Study,Units: 3,,
