Names, Units, Usually Offered In: , Additional Information 
ART 1. Art Forms,Units: 3,Fall / Spring,GE Area: C1
ART 13. Design,Units: 3,Fall / Spring,GE Area: E
ART 14. 3 Dimensional Design,Units: 3,Fall / Spring,
ART 16. Introduction to Color Theory,Units: 3,Fall / Spring,
ART 20. Drawing,Units: 3,Fall / Spring,GE Area: C1
ART 21. Figure Drawing,Units: 3,Fall / Spring,
ART 24. Beginning Printmaking,Units: 3,Fall / Spring,
ART 26. Intaglio Processes,Units: 3,,
ART 27. Screenprinting,Units: 3,Fall,
ART 30. Introduction to Photography,Units: 3,Fall / Spring,
ART 35. Historic and Contemporary Issues in Photography,Units: 3,,
ART 37. Introduction to Computer Art,Units: 3,Fall / Spring,
ART 40. Painting,Units: 3,Fall / Spring,GE Area: C1
ART 45. Watercolor,Units: 3,,
ART 50. Beginning Sculpture,Units: 3,Fall / Spring,GE Area: C1
ART 60. Beginning Ceramics,Units: 3,Fall / Spring,
ART 60UNTRK. Beginning Ceramics,Units: 3,,
ART 70. Crafts,Units: 3,Spring,
ART 80. Beginning 3D Digital Art - Modeling,Units: 3,Fall,
ART 100T. Topics in Art,Units: 1-3,,
ART 101. Content and Form,Units: 3,Fall / Spring,
"ART 102. Ideas of Visual Culture: Art, Media, and the Computer",Units: 3,,GE Area: IC
ART 106. Art Tours,Units: 3,Spring,Repeatable up to 6 units
ART 109T. Topics in Studio Art,Units: 1-3,,
ART 109T. Urban Mural Art Development and Production,Units: 3,,
ART 109T. 2D Animation 3,Units: 3,,
ART 112. Gallery Techniques,Units: 3,Fall / Spring,Repeatable up to 9 units
ART 113. Design,Units: 3,Fall,Repeatable up to 9 units
ART 116. Advanced Color Theory,Units: 3,Fall,Repeatable up to 9 units
ART 120. Intermediate Drawing,Units: 3,Fall,
ART 120T. Portfolio Preparation,Units: 1,,
ART 121. Figure Drawing,Units: 3,Spring,Repeatable up to 9 units
ART 123. Advanced Drawing,Units: 3,Spring,Repeatable up to 9 units
ART 124. Relief Printmaking,Units: 3,Fall / Spring,Repeatable up to 9 units
ART 125. Lithography,Units: 3,Fall,Repeatable up to 9 units
ART 126. Intaglio,Units: 3,Spring,Repeatable up to 9 units
ART 127. Screenprinting,Units: 3,Fall,Repeatable up to 9 units
ART 128. Advanced Printmaking,Units: 3,Fall / Spring,Repeatable up to 9 units
ART 130. Intermediate Black and White Photography,Units: 3,Fall / Spring,Repeatable up to 9 units
ART 133. Alternative Approaches to Digital Imagery,Units: 3,,Repeatable up to 6 units
ART 140. Intermediate Painting,Units: 3,Fall / Spring,
ART 141. Advanced Painting,Units: 3,Fall / Spring,Repeatable up to 9 units
ART 152. Intermediate Sculpture,Units: 3,Fall / Spring,
ART 153. Advanced Sculpture,Units: 3,Fall / Spring,Repeatable up to 9 units
ART 155. Sculpture: Foundry,Units: 3,Fall / Spring,Repeatable up to 9 units
ART 160. Intermediate Ceramics,Units: 3,Fall / Spring,Repeatable up to 9 units
ART 161. Advanced Ceramics,Units: 3,Fall / Spring,Repeatable up to 9 units
ART 165. Ceramic Glazes,Units: 3,Fall,Repeatable up to 9 units
ART 166. Glass Blowing Studio,Units: 3,Fall / Spring,Repeatable up to 9 units
ART 170. Crafts,Units: 3,Spring,Repeatable up to 9 units
ART 171. Textile Design: Dyeing and Printing,Units: 3,Spring,Repeatable up to 9 units
ART 177S. Community Crafts Workshop,Units: 1-3,Spring,Repeatable up to 9 units
ART 179. Development of Artistic Expression,Units: 3,Fall / Spring,Repeatable up to 9 units
ART 181. 2-D Animation 1,Units: 3,Fall / Spring,
ART 182. Large Format Photography,Units: 3,Spring,Repeatable up to 9 units
ART 183. Extended Projects in Photography,Units: 3,,
ART 184S. 2D Animation 2 SL,Units: 3,Spring,
ART 185. Color Photography,Units: 3,,Repeatable up to 9 units
ART 186. Intermediate 3D Digital Art - Animation,Units: 3,Spring,
ART 187A. Advanced 3D Digital Art - Environment,Units: 3,Fall,
ART 187B. Advanced 3D Digital Art - Indirect Animation,Units: 3,Spring,
ART 187C. Advanced 3D Digital Art - Character,Units: 3,Fall,
ART 188. Digital Video Art,Units: 3,,Repeatable up to 9 units
ART 190. Independent Study,Units: 1-3,,Repeatable up to 6 units
ART 198I. Internship in Art,Units: 1-6,,
ART 220T. Topics in Studio Processes,Units: 3,,Repeatable up to 9 units
ART 224. Graduate Printmaking,Units: 3,Fall / Spring,Repeatable up to 9 units
ART 230. Seminar in Art Theory,Units: 3,,Repeatable up to 9 units
ART 240. Seminar in Art Studio,Units: 3,,
ART 241. Graduate Painting,Units: 3,,Repeatable up to 9 units
ART 253. Graduate Sculpture,Units: 3,,Repeatable up to 9 units
ART 260. Seminar in Art History,Units: 3,,Repeatable up to 9 units
ART 290. Independent Study,Units: 1-3,,Repeatable up to 9 units
ART 298. Project,Units: 2-6,,
ART 298C. Project Continuation,Units: 0,,
ART 299. Thesis,Units: 2-6,,
ART 299C. Thesis Continuation,Units: 0,,
ART 431T. Music/Movement,Units: 3,,
ART 432T. Strytell - Int Art,Units: 3,,
ART 621T. Glass/Sculpture,Units: 3,,
ART 621T. Dgtl/Film Photo,Units: 3,,
ART 631T. Music/Movement,Units: 3,,
ART 632T. Strytell-Int Art,Units: 3,,
ARTDS 7A. Art and Design Fundamentals I,Units: 1,,
ARTDS 7B. Art and Design Fundamentals II,Units: 2,,
ARTDS 9T. Studio Topics in Art and Design,Units: 1-3,,Repeatable up to 9 units
ARTDS 9T. Experimental Illustration with Concept Development,Units: 3,,
ARTDS 10T. Lecture Topics in Art and Design,Units: 1-3,,Repeatable up to 9 units
ARTH 10. The Ancient Medieval Worlds,Units: 3,Fall / Spring,GE Area: C1
ARTH 11. The Early Modern World,Units: 3,Fall / Spring,GE Area: C1
ARTH 12. Asian Art,Units: 3,Fall / Spring,GE Area: C1
ARTH 109T. Topics in Art History,Units: 1-3,,
"ARTH 109T. The ""Other"" Ancient Mexico: Pre-Columbian Art of Northern and Western MesoAmerica",Units: 3,,
ARTH 109T. Museum Studies,Units: 3,,
ARTH 120. Italian Renaissance,Units: 3,,
ARTH 122. Northern Renaissance,Units: 3,Fall,
ARTH 124. Southern Baroque,Units: 3,Spring,
ARTH 126. Northern Baroque,Units: 3,Spring,
ARTH 127. Arts of Colonial Mexico,Units: 3,Fall,
ARTH 128. Arts of the Colonial Andes,Units: 3,Spring,
ARTH 131. Nineteenth Century Modern Art,Units: 3,,
ARTH 132. Twentieth Century Modern Art,Units: 3,Fall,
ARTH 136. Contemporary Art,Units: 3,Spring,
ARTH 140. Arts of Southeast Asia,Units: 3,Fall,GE Area: IC
ARTH 141. Arts of East Asia,Units: 3,Spring,
ARTH 142. Arts of South Asia,Units: 3,Fall,
ARTH 143. Kingdoms of Monsoon Asia,Units: 3,Spring,GE Area: ID
ARTH 160. Africa,Units: 3,Spring,
ARTH 170. Native North American,Units: 3,Spring,
ARTH 173. Pre-Columbian Mexico,Units: 3,Fall,
ARTH 175. Pre-Columbian Andes,Units: 3,Fall,
ARTH 180. Methods and Theories of Art History,Units: 3,Spring,
ARTH 190. Independent Study,Units: 1-3,Fall / Spring,Repeatable up to 6 units
CI 161. Mth Mtl Art,Units: 3,,Repeatable up to 999 units
EHD 154B. Final Student Teaching Seminar - Art,Units: 1,,
EHD 155B. Studt Tchg Art,Units: 5-10,Fall / Spring,Repeatable up to 20 units
GD 35. Visual Communications Fundamentals,Units: 3,Fall,
GD 37. Graphic Design: Computer Imaging,Units: 3,Fall / Spring,
GD 39. Graphic Design: Computer Layout Design,Units: 3,Fall / Spring,
GD 41. Typography,Units: 3,Fall / Spring,
GD 42. Graphic Design,Units: 3,Fall / Spring,
GD 50. Web Design,Units: 3,Fall / Spring,
GD 60. Illustration Techniques,Units: 3,Fall / Spring,
GD 135. History of Graphic Design,Units: 3,Fall / Spring,
GD 142. User Experience and Interface Design,Units: 3,Fall,
GD 150. Advanced Web Design,Units: 3,Fall / Spring,Repeatable up to 6 units
GD 153. Data and Design,Units: 3,Spring,Repeatable up to 6 units
GD 155. Designing for Interactions,Units: 3,Fall,Repeatable up to 6 units
GD 157. Motion Graphics,Units: 3,,Repeatable up to 6 units
GD 158. Design Practicum,Units: 3,Spring,Repeatable up to 6 units
GD 159. Immersive Design,Units: 3,Fall,Repeatable up to 6 units
GD 163. Illustration,Units: 3,Fall / Spring,
GD 165. Digital Illustration Techniques,Units: 3,Fall / Spring,
GD 167. Advanced Illustration,Units: 3,Spring,Repeatable up to 6 units
GD 169. Advanced Digital Illustration,Units: 3,Fall,
GD 170. Typographic Design,Units: 3,Fall / Spring,
GD 171. Advanced Typographic Design,Units: 3,Spring,
GD 174. Graphic Systems,Units: 3,Fall / Spring,
GD 175. Graphic Concept Development,Units: 3,Spring,
GD 176. Packaging Design,Units: 3,Fall,
GD 178. Professional Advertising Design,Units: 3,Fall / Spring,
GD 179. Professional Practices In Graphic Design,Units: 3,Spring,
GD 180. Graphic Portfolio Development,Units: 3,Spring,
GD 190. Independent Study in Graphic Design,Units: 3,Fall / Spring,Repeatable up to 6 units
GD 198I. Internship in Graphic Design,Units: 1-6,Fall / Spring,
ID 7. Design Studio I,Units: 4,Fall / Spring,
ID 43. Design Graphics I,Units: 3,Fall / Spring,
"ID 70. Design History, Theory & Criticism I",Units: 3,Fall / Spring,
ID 71. Design Studio II,Units: 4,Fall / Spring,
