Names, Units, Usually Offered In: , Additional Information 
ATHL 10. Strategies for Student-Athlete Success,Units: 1,,
ATHL 100. Conditioning of Athletes,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/Women Water Polo,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/WLcr,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/WTennis,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/WGolf,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/WBk,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/MTennis,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/Eq,Units: 1,, Repeatable up to 999 units
ATHL 100. Conditioning of Athletes,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/Vb,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/Trk,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/Women Swimming and Diving,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/Soc,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/Sb,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/Pep,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/MGolf,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/Fb,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/MBk,Units: 1,, Repeatable up to 999 units
ATHL 100. Cond of Athl/Bb,Units: 1,, Repeatable up to 999 units
ATHL 176. Baseball,Units: 2,, Repeatable up to 999 units
ATHL 177. Men's Basketball,Units: 2,, Repeatable up to 999 units
ATHL 178. Women's Basketball,Units: 2,, Repeatable up to 999 units
ATHL 180. Cross Country,Units: 2,, Repeatable up to 999 units
ATHL 181. Equestrian,Units: 2,, Repeatable up to 99 units
ATHL 182. Football,Units: 2,, Repeatable up to 999 units
ATHL 183. Men's Golf,Units: 2,, Repeatable up to 999 units
ATHL 184. Women's Golf,Units: 2,, Repeatable up to 999 units
ATHL 185. Soccer,Units: 2,, Repeatable up to 999 units
ATHL 187. Softball,Units: 2,, Repeatable up to 999 units
ATHL 189. Swimming and Diving,Units: 2,, Repeatable up to 999 units
ATHL 191. Men's Tennis,Units: 2,, Repeatable up to 999 units
ATHL 192. Women's Tennis,Units: 2,, Repeatable up to 999 units
ATHL 193. Track and Field,Units: 2,, Repeatable up to 999 units
ATHL 194. Women Lacrosse,Units: 2,, Repeatable up to 999 units
ATHL 196. Volleyball,Units: 2,, Repeatable up to 999 units
ATHL 197. Women's Water Polo,Units: 2,, Repeatable up to 999 units
ATHL 199. Wrestling,Units: 2,, Repeatable up to 999 units
