Names,Units,Usually Offered In: ,Additional Information 
CSCI 1. Critical Thinking and Computer Science,Units: 3, Fall / Spring,GE Area: A3
CSCI 5. Computer and Applications,Units: 3, Fall / Spring,
CSCI 30. Introduction to the Internet,Units: 3,,
CSCI 39. Computer Science Principles,Units: 3,Fall / Spring,
CSCI 40. Introduction to Programming and Problem Solving,Units: 4,Fall / Spring,
CSCI 41. Introduction to Data Structures,Units: 4,Fall / Spring,
CSCI 60. Foundations of Computer Science,Units: 4,Fall / Spring,
CSCI 68. Computing Practice and Programming,Units: 4,Fall / Spring,
CSCI 100. Introduction to Computational Science,Units: 3,Fall / Spring,GE Area: IB
CSCI 101. Computational Foundations for Bioinformatics,Units: 3,,
CSCI 108. Algorithmic Thinking,Units: 4,Spring,
CSCI 112. Introduction to Computer Systems,Units: 4,Fall / Spring,
CSCI 113. Introduction to Computer Organization,Units: 4,Fall / Spring,
CSCI 114. Introduction to Operating Systems,Units: 3,Fall / Spring,
CSCI 115. Algorithms and Data Structures,Units: 4,Fall / Spring,
CSCI 117. Structures of Programming Languages,Units: 4,Fall / Spring,
CSCI 119. Introduction to Finite Automata,Units: 4,Fall / Spring,
CSCI 124. Introduction to File Processing,Units: 3,,
CSCI 126. Database Systems,Units: 3,Spring,
CSCI 130. Web Programming,Units: 3,Fall,
CSCI 134. Compiler Design,Units: 3,,
CSCI 146. Systems Architecture,Units: 3,,
CSCI 148. Systems Programming,Units: 3,,
CSCI 150. Introduction to Software Engineering,Units: 3,Fall,
CSCI 152E. Software Engineering,Units: 3,Spring,
CSCI 154. Simulation,Units: 3,Spring,
CSCI 156. Internetworking Systems and Protocols,Units: 3,Fall,
CSCI 164. Artificial Intelligence Programming,Units: 3,Spring,
CSCI 166. Principles of Artificial Intelligence,Units: 3,Fall,
CSCI 168E. Big Data Analytics,Units: 3,Fall,
CSCI 172. Computer Graphics,Units: 3,Fall,
CSCI 173. Advanced Computer Graphics,Units: 3,Fall,
CSCI 174. Design and Analysis of Algorithms,Units: 3,Fall,
CSCI 176. Parallel Processing,Units: 3,Spring,
CSCI 177. Distributed Computer Systems,Units: 3,,
CSCI 186. Formal Languages and Automata,Units: 3,,
CSCI 188. Introduction to Computability,Units: 3,,
CSCI 190. Independent Study,Units: 1-3,, Repeatable up to 6 units
CSCI 191T. Topics in Computer Science,Units: 3,, Repeatable up to 9 units
CSCI 191T. Computer Security,Units: 3,,
CSCI 194I. Cooperative Education,Units: 1-4,, Repeatable up to 8 units
CSCI 198. Project,Units: 3,Fall / Spring,
CSCI 200. Introduction to Research in Computer Science,Units: 1,Fall / Spring,
CSCI 201. CSCI Colloquium,Units: 2,Fall / Spring,
CSCI 213. Computer Organization,Units: 3,,
CSCI 217. Programming Language Principles,Units: 3,Spring,
CSCI 226. Advanced Database Systems,Units: 3,,
CSCI 230. Advanced Web Application Development,Units: 3,,
CSCI 244. Operating Systems,Units: 3,,
CSCI 246. Computer Architecture,Units: 3,Fall,
CSCI 250. Advanced Software Engineering,Units: 3,,
CSCI 252. Software Development and Environments,Units: 3,,
CSCI 253. Human-Computer Interaction,Units: 3,,
CSCI 256. Wireless Communications and Mobile Computing,Units: 3,,
CSCI 264. Artificial Intelligence,Units: 3,,
CSCI 272. Computer Graphics,Units: 3,,
CSCI 274. Combinatorial Algorithms,Units: 3,,
CSCI 282. Theory of Computation,Units: 3,,
CSCI 284. Automata Theory,Units: 3,,
CSCI 290. Independent Study,Units: 1-3,, Repeatable up to 6 units
CSCI 291T. Seminar,Units: 1-3,, Repeatable up to 9 units
CSCI 291T. Introduction to Reinforcement Learning,Units: 3,,
CSCI 291T. Image Processing,Units: 3,,
CSCI 297. Grad Synthesis,Units: 3,Fall / Spring,
CSCI 298. Research Project,Units: 3,,
CSCI 298C. Project Continuation,Units: 0,,
CSCI 299. Master's Thesis,Units: 3-6,,
CSCI 299C. Thesis Continuation,Units: 0,,
